Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/13/2020,03/21/2020,03/21/2020,By week,Colorado,Week-ending,16,886,1.11,70,,11,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Colorado,Week-ending,44,849,1.11,86,26,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Colorado,Week-ending,124,952,1.24,152,81,,200,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Colorado,Week-ending,194,"1,076",1.36,179,113,,262,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Colorado,Week-ending,180,"1,062",1.38,152,103,0,229,
05/13/2020,04/25/2020,04/25/2020,By week,Colorado,Week-ending,173,964,1.31,130,85,,218,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Colorado,Week-ending,72,680,0.92,60,34,0,98,
05/13/2020,05/09/2020,05/09/2020,By week,Colorado,Week-ending,,263,0.35,11,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Connecticut,Week-ending,0,634,0.96,37,0,11,48,
05/13/2020,02/08/2020,02/08/2020,By week,Connecticut,Week-ending,0,413,0.59,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Connecticut,Week-ending,0,409,0.62,24,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Connecticut,Week-ending,0,403,0.61,20,0,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Connecticut,Week-ending,0,399,0.63,35,0,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Connecticut,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/13/2020,03/21/2020,03/21/2020,By week,Connecticut,Week-ending,,,0.01,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Connecticut,Week-ending,41,46,0.07,13,13,0,41,
05/13/2020,04/04/2020,04/04/2020,By week,Connecticut,Week-ending,122,133,0.2,27,24,0,125,
05/13/2020,04/11/2020,04/11/2020,By week,Connecticut,Week-ending,223,239,0.37,60,52,,231,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Connecticut,Week-ending,63,66,0.11,13,13,0,63,
05/13/2020,04/25/2020,04/25/2020,By week,Connecticut,Week-ending,,,0,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Connecticut,Week-ending,,,0,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/13/2020,02/01/2020,02/01/2020,By week,Delaware,Week-ending,0,178,0.97,14,0,0,14,
05/13/2020,02/08/2020,02/08/2020,By week,Delaware,Week-ending,0,186,1,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Delaware,Week-ending,0,200,1.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Delaware,Week-ending,0,186,0.96,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Delaware,Week-ending,0,161,0.89,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Delaware,Week-ending,0,191,1.04,12,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Delaware,Week-ending,0,181,0.98,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Delaware,Week-ending,0,211,1.12,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Delaware,Week-ending,,173,0.86,12,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Delaware,Week-ending,,187,1.1,16,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Delaware,Week-ending,20,171,0.96,15,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Delaware,Week-ending,28,156,0.82,16,11,0,33,
05/13/2020,04/25/2020,04/25/2020,By week,Delaware,Week-ending,32,174,1.05,19,12,0,39,
05/13/2020,05/02/2020,05/02/2020,By week,Delaware,Week-ending,19,105,0.66,12,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Delaware,Week-ending,,17,0.1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,142,1.09,11,0,0,11,
05/13/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,130,1.01,10,0,0,10,
05/13/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,121,0.93,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,102,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,132,1.08,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,117,0.95,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,108,0.92,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,122,1.04,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,120,0.99,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,21,143,1.23,32,21,0,32,
05/13/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,27,159,1.39,37,27,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,36,154,1.3,46,36,0,46,
05/13/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,31,136,1.07,38,31,0,38,
05/13/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,10,59,0.49,12,10,0,12,
05/13/2020,05/09/2020,05/09/2020,By week,District of Columbia,Week-ending,0,10,0.09,0,0,0,0,
05/13/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,"4,419",0.99,244,0,35,279,
05/13/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,"4,383",1,286,0,34,320,
05/13/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,"4,357",1,273,0,26,299,
05/13/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,"4,414",1.04,272,0,33,305,
05/13/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,"4,397",1.04,267,0,33,300,
05/13/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,"4,520",1.07,262,,29,292,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,"4,432",1.06,305,,24,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,"4,358",1.03,357,,23,388,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,92,"4,452",1.06,361,45,19,426,
05/13/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,217,"4,481",1.08,474,140,16,565,
05/13/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,297,"4,506",1.09,422,154,10,575,
05/13/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,292,"4,349",1.08,426,147,,575,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,264,"4,288",1.08,381,133,,516,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,105,"3,272",0.82,225,52,,280,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Florida,Week-ending,,"1,353",0.34,70,,0,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,"1,765",0.99,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,"1,724",0.98,93,0,10,103,
05/13/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,"1,713",1,87,0,16,103,
05/13/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,"1,685",1.03,79,0,21,100,
05/13/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,,"1,785",1.1,86,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,"1,692",1.01,81,,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,"1,694",1,96,,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,30,"1,666",0.99,125,16,,146,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,81,"1,718",1.01,144,34,,197,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Georgia,Week-ending,174,"1,800",1.11,206,88,,296,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Georgia,Week-ending,162,"1,724",1.06,191,70,,286,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Georgia,Week-ending,160,"1,587",0.97,147,61,,249,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Georgia,Week-ending,125,"1,352",0.82,125,51,0,199,
05/13/2020,05/02/2020,05/02/2020,By week,Georgia,Week-ending,43,792,0.48,59,21,0,81,
05/13/2020,05/09/2020,05/09/2020,By week,Georgia,Week-ending,,267,0.17,12,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Hawaii,Week-ending,0,242,1.03,19,0,0,19,
05/13/2020,02/08/2020,02/08/2020,By week,Hawaii,Week-ending,0,233,1.09,19,0,0,19,
